                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 1.2603,                0.71644,                0.91688,                0.87329,                0.81064,                0.86567,                 0.6562,                 1.3418,                0.75265,                0.94949,             0.00030276,             0.00030276,             0.00030276
                     52,                 1.2723,                0.70785,                0.91761,                0.87471,                0.81503,                0.86083,                0.63963,                 1.3598,                0.75419,                0.95599,             0.00029694,             0.00029694,             0.00029694
                     53,                 1.2467,                0.69594,                0.91429,                0.89186,                 0.8044,                0.86596,                0.65533,                 1.3232,                0.73752,                0.94645,             0.00029112,             0.00029112,             0.00029112
                     54,                 1.2487,                0.69985,                0.91222,                0.88197,                0.80681,                0.85735,                0.64749,                 1.3433,                0.74101,                0.95281,              0.0002853,              0.0002853,              0.0002853
                     55,                 1.2559,                0.68709,                0.91463,                0.90713,                0.79483,                0.86344,                0.65732,                 1.3279,                0.72726,                0.94907,             0.00027948,             0.00027948,             0.00027948
                     56,                 1.2478,                0.68587,                0.91027,                0.89575,                 0.8227,                0.87416,                 0.6633,                 1.3223,                0.72457,                0.94498,             0.00027366,             0.00027366,             0.00027366
                     57,                 1.2043,                0.66765,                0.90439,                0.89818,                0.81808,                 0.8633,                0.65675,                  1.319,                0.73018,                0.94907,             0.00026783,             0.00026783,             0.00026783
                     58,                 1.2169,                0.67158,                0.90488,                0.90447,                0.83564,                0.87897,                0.66945,                 1.3255,                0.72165,                0.94847,             0.00026201,             0.00026201,             0.00026201
                     59,                 1.2074,                 0.6671,                0.90255,                0.90164,                 0.8248,                0.88469,                0.66968,                 1.3168,                0.71266,                0.94371,             0.00025619,             0.00025619,             0.00025619
                     60,                 1.2019,                0.65483,                0.90016,                0.86969,                  0.826,                0.87751,                0.66681,                 1.3114,                0.71691,                0.94144,             0.00025037,             0.00025037,             0.00025037
                     61,                 1.2258,                0.67085,                0.90585,                0.90681,                0.82199,                0.87688,                0.67164,                 1.3056,                0.70777,                0.93736,             0.00024455,             0.00024455,             0.00024455
                     62,                 1.2092,                0.65407,                0.89585,                0.90915,                0.82045,                0.88337,                  0.675,                 1.2923,                 0.7039,                0.93924,             0.00023873,             0.00023873,             0.00023873
                     63,                 1.1948,                0.64976,                0.89845,                0.87668,                0.82839,                0.87415,                0.66405,                 1.3006,                0.70874,                0.93976,             0.00023291,             0.00023291,             0.00023291
                     64,                 1.2174,                0.65514,                0.89865,                 0.9036,                0.82535,                0.87569,                0.66189,                 1.3197,                0.69917,                0.94113,             0.00022709,             0.00022709,             0.00022709
                     65,                 1.1802,                0.63074,                0.89311,                0.89957,                 0.8338,                0.88702,                0.68897,                 1.2723,                0.68546,                0.93182,             0.00022126,             0.00022126,             0.00022126
                     66,                 1.1729,                0.63273,                0.89393,                0.88932,                0.84179,                0.88952,                0.68695,                 1.2757,                0.69197,                0.92886,             0.00021544,             0.00021544,             0.00021544
                     67,                 1.1973,                0.64109,                0.89179,                0.89621,                0.84374,                0.88803,                0.68106,                  1.274,                0.68372,                0.92759,             0.00020962,             0.00020962,             0.00020962
                     68,                 1.1732,                0.62535,                 0.8898,                0.89116,                0.83677,                0.88762,                0.68253,                 1.2778,                0.68511,                 0.9279,              0.0002038,              0.0002038,              0.0002038
                     69,                 1.1822,                0.63573,                0.89656,                0.90695,                0.84143,                0.89022,                0.68451,                 1.2872,                0.68464,                0.94318,             0.00019798,             0.00019798,             0.00019798
                     70,                 1.1707,                0.62654,                0.88837,                0.91708,                0.83598,                0.89112,                 0.6788,                 1.2892,                0.68322,                0.94033,             0.00019216,             0.00019216,             0.00019216
                     71,                 1.1463,                0.61202,                 0.8829,                0.90845,                0.84265,                0.89288,                0.69576,                 1.2629,                0.66743,                 0.9312,             0.00018634,             0.00018634,             0.00018634
                     72,                 1.1307,                0.59772,                 0.8807,                0.90092,                0.84401,                0.89854,                0.68935,                 1.2693,                0.66908,                0.93192,             0.00018052,             0.00018052,             0.00018052
                     73,                 1.1392,                0.60279,                0.88304,                0.89475,                0.84732,                0.89455,                0.68798,                 1.2511,                0.66893,                0.92552,             0.00017469,             0.00017469,             0.00017469
