                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                 1.1079,                0.58262,                0.87615,                 0.9224,                0.85543,                0.90485,                0.70474,                 1.1962,                0.59103,                0.90405,             0.00037262,             0.00037262,             0.00037262
                     77,                 1.0816,                0.56882,                0.87418,                 0.9136,                0.86731,                0.90568,                0.70117,                 1.2091,                0.58793,                0.90586,             0.00036971,             0.00036971,             0.00036971
                     78,                  1.127,                0.58987,                0.87529,                0.89362,                0.86398,                0.89921,                 0.6913,                 1.2115,                0.59377,                0.90618,             0.00036679,             0.00036679,             0.00036679
                     79,                 1.0923,                0.56981,                0.87365,                0.91633,                0.85667,                0.90089,                0.70385,                 1.1963,                0.57838,                0.90055,             0.00036388,             0.00036388,             0.00036388
                     80,                 1.1064,                0.57737,                0.87419,                0.92343,                0.86039,                0.90239,                0.70858,                 1.1763,                0.57692,                0.89695,             0.00036097,             0.00036097,             0.00036097
                     81,                 1.1039,                0.57851,                0.86996,                0.92513,                0.86038,                0.91363,                0.70683,                 1.1941,                0.57634,                0.90203,             0.00035806,             0.00035806,             0.00035806
                     82,                 1.0842,                0.56754,                0.86741,                 0.9299,                0.86274,                0.91145,                0.71229,                 1.1921,                0.57306,                0.89921,             0.00035515,             0.00035515,             0.00035515
                     83,                 1.0767,                0.55616,                0.86663,                0.92646,                 0.8698,                0.91616,                0.71192,                 1.1879,                0.56927,                0.89577,             0.00035224,             0.00035224,             0.00035224
                     84,                  1.062,                0.55142,                0.86285,                 0.9221,                0.86973,                0.91243,                0.72002,                 1.1618,                0.56214,                0.88991,             0.00034933,             0.00034933,             0.00034933
                     85,                 1.1031,                 0.5734,                0.87092,                0.90654,                0.86081,                0.90197,                0.70458,                 1.1819,                0.57252,                0.89471,             0.00034642,             0.00034642,             0.00034642
                     86,                 1.1043,                 0.5752,                0.87186,                0.92632,                0.86463,                0.90976,                 0.7062,                 1.1851,                0.57377,                0.89627,             0.00034351,             0.00034351,             0.00034351
                     87,                 1.0801,                0.56008,                0.86404,                 0.9071,                0.87213,                0.91423,                0.71585,                  1.178,                0.56336,                0.88935,              0.0003406,              0.0003406,              0.0003406
                     88,                 1.0819,                0.55518,                0.86189,                0.92611,                0.87007,                 0.9126,                0.71314,                 1.1729,                0.55883,                0.89257,             0.00033769,             0.00033769,             0.00033769
                     89,                 1.0389,                0.53344,                0.86086,                0.92897,                0.87337,                0.91725,                0.72935,                 1.1546,                 0.5495,                0.88627,             0.00033478,             0.00033478,             0.00033478
